OR4F5	ENSG00000186092.7	ENST00000641515.2
DEFB128	ENSG00000185982.7	ENST00000334391.5
DEFB129	ENSG00000125903.4	ENST00000246105.4
DEFB132	ENSG00000186458.5	ENST00000382376.4
C20orf96	ENSG00000196476.12	ENST00000400269.4
ZCCHC3	ENSG00000247315.4	ENST00000500893.4
SOX12	ENSG00000177732.9	ENST00000342665.5
NRSN2	ENSG00000125841.14	ENST00000608467.5
TRIB3	ENSG00000101255.13	ENST00000615226.5
RBCK1	ENSG00000125826.22	ENST00000356286.10
TBC1D20	ENSG00000125875.15	ENST00000681539.1
CSNK2A1	ENSG00000101266.19	ENST00000646561.1
TCF15	ENSG00000125878.7	ENST00000246080.4
SRXN1	ENSG00000271303.2	ENST00000381962.4
ENSG00000270299	ENSG00000270299.1	ENST00000488788.2
SCRT2	ENSG00000215397.4	ENST00000246104.7
SLC52A3	ENSG00000101276.18	ENST00000217254.11
FAM110A	ENSG00000125898.13	ENST00000381941.8
ANGPT4	ENSG00000101280.8	ENST00000381922.5
RSPO4	ENSG00000101282.9	ENST00000217260.9
PSMF1	ENSG00000125818.18	ENST00000333082.7
TMEM74B	ENSG00000125895.6	ENST00000429036.2
C20orf202	ENSG00000215595.3	ENST00000400633.3
RAD21L1	ENSG00000244588.6	ENST00000402452.5
SNPH	ENSG00000101298.15	ENST00000381867.6
SDCBP2	ENSG00000125775.15	ENST00000360779.4
ENSG00000274322	ENSG00000274322.1	ENST00000617804.1
FKBP1A	ENSG00000088832.18	ENST00000439640.5
NSFL1C	ENSG00000088833.18	ENST00000476071.5
SIRPB2	ENSG00000196209.13	ENST00000359801.8
SIRPD	ENSG00000125900.13	ENST00000381621.5
ENSG00000260861	ENSG00000260861.6	ENST00000564763.1
SIRPB1	ENSG00000101307.16	ENST00000381605.9
SIRPG	ENSG00000089012.14	ENST00000303415.7
SIRPA	ENSG00000198053.12	ENST00000622179.4
PDYN	ENSG00000101327.9	ENST00000539905.5
STK35	ENSG00000125834.13	ENST00000381482.8
ENSG00000286022	ENSG00000286022.1	ENST00000651531.1
TGM3	ENSG00000125780.12	ENST00000381458.6
TGM6	ENSG00000166948.10	ENST00000202625.7
SNRPB	ENSG00000125835.20	ENST00000438552.6
ENSG00000256566	ENSG00000256566.1	ENST00000461548.1
ZNF343	ENSG00000088876.13	ENST00000612935.4
TMC2	ENSG00000149488.14	ENST00000358864.2
NOP56	ENSG00000101361.17	ENST00000329276.10
IDH3B	ENSG00000101365.22	ENST00000380851.10
EBF4	ENSG00000088881.22	ENST00000609451.6
CPXM1	ENSG00000088882.8	ENST00000380605.3
ENSG00000241690	ENSG00000241690.3	ENST00000380593.4
C20orf141	ENSG00000258713.3	ENST00000603872.2
TMEM239	ENSG00000198326.10	ENST00000361033.1
PCED1A	ENSG00000132635.17	ENST00000356872.7
VPS16	ENSG00000215305.10	ENST00000380469.7
PTPRA	ENSG00000132670.21	ENST00000216877.10
GNRH2	ENSG00000125787.11	ENST00000245983.6
MRPS26	ENSG00000125901.6	ENST00000380325.4
OXT	ENSG00000101405.3	ENST00000217386.2
AVP	ENSG00000101200.5	ENST00000380293.3
UBOX5	ENSG00000185019.17	ENST00000348031.6
FASTKD5	ENSG00000215251.5	ENST00000380266.4
LZTS3	ENSG00000088899.16	ENST00000337576.7
DDRGK1	ENSG00000198171.13	ENST00000354488.8
ITPA	ENSG00000125877.13	ENST00000380113.8
SLC4A11	ENSG00000088836.14	ENST00000642402.1
DNAAF9	ENSG00000088854.13	ENST00000252032.10
ATRN	ENSG00000088812.18	ENST00000262919.10
GFRA4	ENSG00000125861.16	ENST00000290417.7
ADAM33	ENSG00000149451.19	ENST00000379861.8
SIGLEC1	ENSG00000088827.14	ENST00000344754.6
HSPA12B	ENSG00000132622.11	ENST00000254963.7
ADISSP	ENSG00000101220.18	ENST00000379772.4
SPEF1	ENSG00000101222.12	ENST00000379756.3
CENPB	ENSG00000125817.8	ENST00000379751.5
CDC25B	ENSG00000101224.18	ENST00000344256.10
AP5S1	ENSG00000125843.12	ENST00000615891.2
MAVS	ENSG00000088888.18	ENST00000416600.6
PANK2	ENSG00000125779.24	ENST00000316562.9
RNF24	ENSG00000101236.17	ENST00000358395.11
SMOX	ENSG00000088826.18	ENST00000278795.7
ADRA1D	ENSG00000171873.8	ENST00000379453.6
PRNP	ENSG00000171867.18	ENST00000430350.2
PRND	ENSG00000171864.5	ENST00000305817.3
RASSF2	ENSG00000101265.16	ENST00000379400.8
SLC23A2	ENSG00000089057.15	ENST00000379333.5
TMEM230	ENSG00000089063.16	ENST00000612323.4
PCNA	ENSG00000132646.11	ENST00000379160.3
CDS2	ENSG00000101290.14	ENST00000460006.6
PROKR2	ENSG00000101292.8	ENST00000678254.1
GPCPD1	ENSG00000125772.15	ENST00000718343.1
SHLD1	ENSG00000171984.15	ENST00000303142.11
CHGB	ENSG00000089199.10	ENST00000378961.9
TRMT6	ENSG00000089195.15	ENST00000203001.7
MCM8	ENSG00000125885.13	ENST00000610722.4
ENSG00000286235	ENSG00000286235.1	ENST00000652720.1
CRLS1	ENSG00000088766.12	ENST00000452938.5
LRRN4	ENSG00000125872.9	ENST00000378858.5
FERMT1	ENSG00000101311.17	ENST00000217289.9
BMP2	ENSG00000125845.7	ENST00000378827.5
HAO1	ENSG00000101323.5	ENST00000378789.4
TMX4	ENSG00000125827.9	ENST00000246024.7
PLCB1	ENSG00000182621.19	ENST00000637919.1
PLCB4	ENSG00000101333.19	ENST00000688837.1
LAMP5	ENSG00000125869.10	ENST00000246070.3
PAK5	ENSG00000101349.17	ENST00000353224.10
ANKEF1	ENSG00000132623.16	ENST00000378392.6
SNAP25	ENSG00000132639.15	ENST00000691665.1
MKKS	ENSG00000125863.20	ENST00000347364.7
ENSG00000285508	ENSG00000285508.2	ENST00000713549.1
ENSG00000285723	ENSG00000285723.2	ENST00000649912.2
SLX4IP	ENSG00000149346.15	ENST00000334534.10
JAG1	ENSG00000101384.12	ENST00000254958.10
BTBD3	ENSG00000132640.15	ENST00000254977.7
SPTLC3	ENSG00000172296.13	ENST00000399002.7
ISM1	ENSG00000101230.6	ENST00000262487.5
TASP1	ENSG00000089123.16	ENST00000337743.9
ESF1	ENSG00000089048.15	ENST00000617257.2
NDUFAF5	ENSG00000101247.18	ENST00000378106.10
SEL1L2	ENSG00000101251.13	ENST00000646153.1
MACROD2	ENSG00000172264.19	ENST00000217246.8
FLRT3	ENSG00000125848.10	ENST00000341420.5
KIF16B	ENSG00000089177.20	ENST00000354981.7
SNRPB2	ENSG00000125870.11	ENST00000246071.8
OTOR	ENSG00000125879.5	ENST00000246081.3
PCSK2	ENSG00000125851.10	ENST00000377899.5
BFSP1	ENSG00000125864.14	ENST00000377868.6
DSTN	ENSG00000125868.16	ENST00000246069.12
RRBP1	ENSG00000125844.17	ENST00000360807.8
BANF2	ENSG00000125888.15	ENST00000545418.2
SNX5	ENSG00000089006.17	ENST00000377768.7
MGME1	ENSG00000125871.14	ENST00000377710.10
OVOL2	ENSG00000125850.11	ENST00000278780.7
KAT14	ENSG00000149474.15	ENST00000677174.1
PET117	ENSG00000232838.4	ENST00000432901.4
ZNF133	ENSG00000125846.17	ENST00000396026.7
DZANK1	ENSG00000089091.17	ENST00000262547.9
POLR3F	ENSG00000132664.13	ENST00000462997.6
RBBP9	ENSG00000089050.16	ENST00000337227.9
SEC23B	ENSG00000101310.17	ENST00000336714.8
SMIM26	ENSG00000232388.5	ENST00000435844.3
ENSG00000284776	ENSG00000284776.1	ENST00000618693.4
DTD1	ENSG00000125821.13	ENST00000377452.4
SCP2D1	ENSG00000132631.6	ENST00000377428.4
SLC24A3	ENSG00000185052.13	ENST00000328041.11
RIN2	ENSG00000132669.14	ENST00000255006.12
NAA20	ENSG00000173418.12	ENST00000310450.8
CRNKL1	ENSG00000101343.15	ENST00000377327.8
CFAP61	ENSG00000089101.19	ENST00000245957.10
INSM1	ENSG00000173404.5	ENST00000310227.3
RALGAPA2	ENSG00000188559.16	ENST00000202677.12
KIZ	ENSG00000088970.16	ENST00000619574.4
XRN2	ENSG00000088930.8	ENST00000377191.5
NKX2-4	ENSG00000125816.5	ENST00000351817.5
NKX2-2	ENSG00000125820.6	ENST00000377142.5
PAX1	ENSG00000125813.15	ENST00000613128.5
FOXA2	ENSG00000125798.15	ENST00000377115.4
SSTR4	ENSG00000132671.6	ENST00000255008.5
THBD	ENSG00000178726.7	ENST00000377103.3
CD93	ENSG00000125810.11	ENST00000246006.5
NXT1	ENSG00000132661.4	ENST00000254998.3
GZF1	ENSG00000125812.16	ENST00000338121.10
NAPB	ENSG00000125814.17	ENST00000398425.7
CSTL1	ENSG00000125823.13	ENST00000246020.3
CST11	ENSG00000125831.10	ENST00000377009.8
CST8	ENSG00000125815.9	ENST00000246012.2
CST9L	ENSG00000101435.5	ENST00000376979.4
CST9	ENSG00000173335.5	ENST00000376971.4
CST3	ENSG00000101439.9	ENST00000398411.5
CST4	ENSG00000101441.5	ENST00000217423.4
CST1	ENSG00000170373.9	ENST00000398402.1
CST2	ENSG00000170369.4	ENST00000304725.3
CST5	ENSG00000170367.5	ENST00000304710.5
GGTLC1	ENSG00000149435.12	ENST00000335694.4
SYNDIG1	ENSG00000101463.6	ENST00000376862.4
CST7	ENSG00000077984.6	ENST00000480798.2
APMAP	ENSG00000101474.12	ENST00000217456.3
ACSS1	ENSG00000154930.15	ENST00000432802.6
VSX1	ENSG00000100987.15	ENST00000429762.7
ENTPD6	ENSG00000197586.13	ENST00000376652.9
PYGB	ENSG00000100994.12	ENST00000216962.9
ABHD12	ENSG00000100997.20	ENST00000376542.8
GINS1	ENSG00000101003.12	ENST00000696810.1
NINL	ENSG00000101004.16	ENST00000278886.11
NANP	ENSG00000170191.5	ENST00000304788.4
ZNF337	ENSG00000130684.14	ENST00000252979.6
DEFB115	ENSG00000215547.1	ENST00000400552.1
DEFB116	ENSG00000215545.1	ENST00000400549.1
DEFB118	ENSG00000131068.4	ENST00000253381.3
DEFB119	ENSG00000180483.7	ENST00000339144.3
DEFB121	ENSG00000204548.4	ENST00000376314.3
DEFB123	ENSG00000180424.7	ENST00000376309.4
DEFB124	ENSG00000180383.4	ENST00000317676.3
REM1	ENSG00000088320.4	ENST00000201979.3
HM13	ENSG00000101294.20	ENST00000340852.9
MCTS2	ENSG00000101898.8	ENST00000718306.1
ID1	ENSG00000125968.10	ENST00000718307.1
COX4I2	ENSG00000131055.5	ENST00000376075.4
BCL2L1	ENSG00000171552.14	ENST00000420488.6
TPX2	ENSG00000088325.16	ENST00000340513.4
MYLK2	ENSG00000101306.11	ENST00000375994.6
FOXS1	ENSG00000179772.8	ENST00000375978.5
DUSP15	ENSG00000149599.16	ENST00000278979.7
TTLL9	ENSG00000131044.19	ENST00000535842.6
PDRG1	ENSG00000088356.6	ENST00000202017.6
XKR7	ENSG00000260903.3	ENST00000562532.3
CCM2L	ENSG00000101331.17	ENST00000452892.3
HCK	ENSG00000101336.18	ENST00000375852.5
TM9SF4	ENSG00000101337.16	ENST00000398022.7
ENSG00000293164	ENSG00000293164.1	ENST00000565928.2
PLAGL2	ENSG00000126003.7	ENST00000246229.5
POFUT1	ENSG00000101346.15	ENST00000375749.8
KIF3B	ENSG00000101350.8	ENST00000375712.4
ASXL1	ENSG00000171456.22	ENST00000375687.10
NOL4L	ENSG00000197183.15	ENST00000621426.7
C20orf203	ENSG00000198547.10	ENST00000608990.6
ENSG00000285382	ENSG00000285382.1	ENST00000642484.1
COMMD7	ENSG00000149600.12	ENST00000278980.11
DNMT3B	ENSG00000088305.19	ENST00000696232.1
MAPRE1	ENSG00000101367.9	ENST00000375571.6
EFCAB8	ENSG00000215529.13	ENST00000400522.9
SUN5	ENSG00000167098.12	ENST00000356173.8
BPIFB2	ENSG00000078898.7	ENST00000170150.4
BPIFB6	ENSG00000167104.11	ENST00000349552.1
BPIFB3	ENSG00000186190.8	ENST00000375494.4
BPIFB4	ENSG00000186191.9	ENST00000375483.4
BPIFA2	ENSG00000131050.11	ENST00000253362.6
BPIFA3	ENSG00000131059.12	ENST00000375454.8
BPIFA1	ENSG00000198183.13	ENST00000375413.8
BPIFB1	ENSG00000125999.11	ENST00000253354.2
CDK5RAP1	ENSG00000101391.21	ENST00000339269.5
SNTA1	ENSG00000101400.6	ENST00000217381.3
CBFA2T2	ENSG00000078699.22	ENST00000342704.11
NECAB3	ENSG00000125967.17	ENST00000375238.8
C20orf144	ENSG00000149609.6	ENST00000375222.4
ACTL10	ENSG00000288649.2	ENST00000677665.1
E2F1	ENSG00000101412.13	ENST00000343380.6
PXMP4	ENSG00000101417.12	ENST00000409299.8
ZNF341	ENSG00000131061.15	ENST00000342427.6
CHMP4B	ENSG00000101421.4	ENST00000217402.3
RALY	ENSG00000125970.12	ENST00000375114.7
EIF2S2	ENSG00000125977.7	ENST00000374980.3
ASIP	ENSG00000101440.10	ENST00000568305.5
AHCY	ENSG00000101444.13	ENST00000538132.1
ENSG00000289720	ENSG00000289720.1	ENST00000696979.1
ITCH	ENSG00000078747.17	ENST00000374864.10
DYNLRB1	ENSG00000125971.18	ENST00000696986.1
MAP1LC3A	ENSG00000101460.13	ENST00000374837.7
PIGU	ENSG00000101464.11	ENST00000217446.8
TP53INP2	ENSG00000078804.13	ENST00000374809.6
NCOA6	ENSG00000198646.14	ENST00000359003.7
GGT7	ENSG00000131067.17	ENST00000336431.10
ACSS2	ENSG00000131069.20	ENST00000253382.5
GSS	ENSG00000100983.12	ENST00000643188.1
MYH7B	ENSG00000078814.19	ENST00000262873.13
TRPC4AP	ENSG00000100991.12	ENST00000252015.3
EDEM2	ENSG00000088298.13	ENST00000374492.8
PROCR	ENSG00000101000.6	ENST00000216968.5
MMP24	ENSG00000125966.10	ENST00000246186.8
ENSG00000261582	ENSG00000261582.1	ENST00000444717.1
MMP24OS	ENSG00000126005.17	ENST00000456790.2
EIF6	ENSG00000242372.9	ENST00000374443.7
FAM83C	ENSG00000125998.8	ENST00000374408.4
UQCC1	ENSG00000101019.22	ENST00000374380.6
GDF5	ENSG00000125965.9	ENST00000374372.1
CEP250	ENSG00000126001.17	ENST00000397527.6
C20orf173	ENSG00000125975.14	ENST00000374345.8
ERGIC3	ENSG00000125991.21	ENST00000357394.8
SPAG4	ENSG00000061656.11	ENST00000679710.1
CPNE1	ENSG00000214078.13	ENST00000397443.7
ENSG00000272897	ENSG00000272897.5	ENST00000541176.2
RBM12	ENSG00000244462.8	ENST00000374114.8
NFS1	ENSG00000244005.13	ENST00000374092.9
ROMO1	ENSG00000125995.16	ENST00000374078.5
RBM39	ENSG00000131051.24	ENST00000253363.11
PHF20	ENSG00000025293.17	ENST00000374012.8
SCAND1	ENSG00000171222.11	ENST00000373991.3
CNBD2	ENSG00000149646.12	ENST00000373973.7
EPB41L1	ENSG00000088367.23	ENST00000373946.7
AAR2	ENSG00000131043.13	ENST00000397286.7
DLGAP4	ENSG00000080845.19	ENST00000373913.7
MYL9	ENSG00000101335.10	ENST00000279022.7
TGIF2	ENSG00000118707.11	ENST00000373874.6
TGIF2-RAB5IF	ENSG00000259399.1	ENST00000558530.1
RAB5IF	ENSG00000101084.19	ENST00000344795.8
SLA2	ENSG00000101082.14	ENST00000262866.9
NDRG3	ENSG00000101079.21	ENST00000349004.6
DSN1	ENSG00000149636.16	ENST00000373734.8
MTCL2	ENSG00000149639.15	ENST00000237536.9
TLDC2	ENSG00000101342.10	ENST00000217320.8
SAMHD1	ENSG00000101347.11	ENST00000646673.2
RBL1	ENSG00000080839.12	ENST00000373664.8
MROH8	ENSG00000101353.16	ENST00000343811.10
RPN2	ENSG00000118705.18	ENST00000705448.1
GHRH	ENSG00000118702.11	ENST00000237527.8
MANBAL	ENSG00000101363.13	ENST00000373606.8
SRC	ENSG00000197122.13	ENST00000692112.1
BLCAP	ENSG00000166619.15	ENST00000414542.6
NNAT	ENSG00000053438.11	ENST00000346199.3
CTNNBL1	ENSG00000132792.21	ENST00000361383.11
VSTM2L	ENSG00000132821.12	ENST00000373461.9
TTI1	ENSG00000101407.13	ENST00000373448.6
RPRD1B	ENSG00000101413.12	ENST00000373433.9
TGM2	ENSG00000198959.12	ENST00000361475.7
KIAA1755	ENSG00000149633.12	ENST00000279024.9
BPI	ENSG00000101425.15	ENST00000262865.10
LBP	ENSG00000129988.6	ENST00000217407.3
RALGAPB	ENSG00000170471.15	ENST00000397042.7
ADIG	ENSG00000182035.13	ENST00000416116.2
ARHGAP40	ENSG00000124143.11	ENST00000373345.9
SLC32A1	ENSG00000101438.4	ENST00000217420.2
ACTR5	ENSG00000101442.10	ENST00000243903.6
PPP1R16B	ENSG00000101445.10	ENST00000299824.6
FAM83D	ENSG00000101447.15	ENST00000619304.4
DHX35	ENSG00000101452.15	ENST00000373325.6
MAFB	ENSG00000204103.4	ENST00000373313.3
TOP1	ENSG00000198900.7	ENST00000361337.3
PLCG1	ENSG00000124181.15	ENST00000373271.5
ZHX3	ENSG00000174306.22	ENST00000683867.1
LPIN3	ENSG00000132793.12	ENST00000373257.8
EMILIN3	ENSG00000183798.5	ENST00000332312.4
CHD6	ENSG00000124177.16	ENST00000373233.8
PTPRT	ENSG00000196090.14	ENST00000373201.5
SRSF6	ENSG00000124193.16	ENST00000662078.1
ENSG00000288000	ENSG00000288000.1	ENST00000657241.1
L3MBTL1	ENSG00000185513.18	ENST00000704961.1
ENSG00000277611	ENSG00000277611.1	ENST00000621802.1
SGK2	ENSG00000101049.18	ENST00000373100.7
IFT52	ENSG00000101052.13	ENST00000373030.8
MYBL2	ENSG00000101057.16	ENST00000396863.8
GTSF1L	ENSG00000124196.6	ENST00000373003.2
TOX2	ENSG00000124191.18	ENST00000341197.9
JPH2	ENSG00000149596.7	ENST00000372980.4
OSER1	ENSG00000132823.11	ENST00000255174.3
GDAP1L1	ENSG00000124194.17	ENST00000617075.4
FITM2	ENSG00000197296.6	ENST00000396825.4
R3HDML	ENSG00000101074.5	ENST00000217043.4
HNF4A	ENSG00000101076.20	ENST00000316673.9
TTPAL	ENSG00000124120.11	ENST00000262605.9
SERINC3	ENSG00000132824.14	ENST00000255175.5
PKIG	ENSG00000168734.14	ENST00000372887.5
ADA	ENSG00000196839.14	ENST00000537820.2
CCN5	ENSG00000064205.11	ENST00000372868.6
KCNK15	ENSG00000124249.7	ENST00000372861.5
RIMS4	ENSG00000101098.13	ENST00000372851.8
YWHAB	ENSG00000166913.13	ENST00000353703.9
PABPC1L	ENSG00000101104.13	ENST00000217073.7
TOMM34	ENSG00000025772.8	ENST00000372813.4
STK4	ENSG00000101109.14	ENST00000499879.8
KCNS1	ENSG00000124134.9	ENST00000537075.3
WFDC5	ENSG00000175121.12	ENST00000372789.6
WFDC12	ENSG00000168703.5	ENST00000372785.3
PI3	ENSG00000124102.5	ENST00000243924.4
SEMG1	ENSG00000124233.12	ENST00000372781.4
SEMG2	ENSG00000124157.7	ENST00000372769.4
SLPI	ENSG00000124107.5	ENST00000338380.2
MATN4	ENSG00000124159.17	ENST00000537548.3
RBPJL	ENSG00000124232.11	ENST00000343694.8
SDC4	ENSG00000124145.6	ENST00000372733.3
SYS1	ENSG00000204070.10	ENST00000426004.5
SYS1-DBNDD2	ENSG00000254806.5	ENST00000458187.5
TP53TG5	ENSG00000124251.11	ENST00000372726.5
DBNDD2	ENSG00000244274.9	ENST00000372723.7
PIGT	ENSG00000124155.19	ENST00000638594.1
WFDC2	ENSG00000101443.18	ENST00000372676.8
SPINT3	ENSG00000101446.8	ENST00000217428.7
WFDC6	ENSG00000243543.10	ENST00000372670.8
EPPIN-WFDC6	ENSG00000249139.2	ENST00000651288.1
EPPIN	ENSG00000101448.14	ENST00000354280.9
WFDC8	ENSG00000158901.12	ENST00000357199.8
WFDC9	ENSG00000180205.4	ENST00000326000.2
WFDC10A	ENSG00000180305.5	ENST00000372643.4
WFDC11	ENSG00000180083.11	ENST00000356562.6
WFDC10B	ENSG00000182931.10	ENST00000330523.10
WFDC13	ENSG00000168634.5	ENST00000305479.3
SPINT4	ENSG00000149651.4	ENST00000279058.4
WFDC3	ENSG00000124116.19	ENST00000243938.9
DNTTIP1	ENSG00000101457.13	ENST00000372622.8
UBE2C	ENSG00000175063.17	ENST00000405520.5
TNNC2	ENSG00000101470.10	ENST00000372557.1
SNX21	ENSG00000124104.19	ENST00000491381.6
ACOT8	ENSG00000101473.17	ENST00000217455.9
ZSWIM3	ENSG00000132801.7	ENST00000255152.3
ZSWIM1	ENSG00000168612.5	ENST00000372523.1
SPATA25	ENSG00000149634.5	ENST00000372519.4
NEURL2	ENSG00000124257.7	ENST00000372518.5
CTSA	ENSG00000064601.21	ENST00000372484.8
PLTP	ENSG00000100979.15	ENST00000372431.8
PCIF1	ENSG00000100982.12	ENST00000372409.8
ZNF335	ENSG00000198026.8	ENST00000322927.3
MMP9	ENSG00000100985.7	ENST00000372330.3
SLC12A5	ENSG00000124140.15	ENST00000454036.6
NCOA5	ENSG00000124160.12	ENST00000290231.11
CD40	ENSG00000101017.15	ENST00000372276.7
CDH22	ENSG00000149654.11	ENST00000537909.4
SLC35C2	ENSG00000080189.15	ENST00000372230.10
ELMO2	ENSG00000062598.18	ENST00000396391.5
ZNF840P	ENSG00000184617.11	ENST00000717156.1
ZNF334	ENSG00000198185.12	ENST00000692313.1
OCSTAMP	ENSG00000149635.3	ENST00000279028.3
SLC13A3	ENSG00000158296.14	ENST00000290317.9
TP53RK	ENSG00000172315.6	ENST00000372114.4
SLC2A10	ENSG00000197496.6	ENST00000359271.4
EYA2	ENSG00000064655.19	ENST00000357410.7
ZMYND8	ENSG00000101040.20	ENST00000355972.8
NCOA3	ENSG00000124151.19	ENST00000371998.8
SULF2	ENSG00000196562.16	ENST00000359930.8
PREX1	ENSG00000124126.14	ENST00000371941.4
ARFGEF2	ENSG00000124198.10	ENST00000371917.5
CSE1L	ENSG00000124207.17	ENST00000396192.7
STAU1	ENSG00000124214.21	ENST00000371828.7
DDX27	ENSG00000124228.15	ENST00000618172.5
ZNFX1	ENSG00000124201.15	ENST00000371754.8
KCNB1	ENSG00000158445.10	ENST00000371741.6
PTGIS	ENSG00000124212.6	ENST00000244043.5
B4GALT5	ENSG00000158470.5	ENST00000371711.4
SLC9A8	ENSG00000197818.12	ENST00000417961.5
SPATA2	ENSG00000158480.11	ENST00000289431.10
RNF114	ENSG00000124226.11	ENST00000244061.6
SNAI1	ENSG00000124216.4	ENST00000244050.3
UBE2V1	ENSG00000244687.13	ENST00000340309.7
PEDS1-UBE2V1	ENSG00000124208.16	ENST00000341698.2
PEDS1	ENSG00000240849.11	ENST00000371652.9
CEBPB	ENSG00000172216.7	ENST00000718336.1
PTPN1	ENSG00000196396.10	ENST00000371621.5
RIPOR3	ENSG00000042062.13	ENST00000327979.8
PARD6B	ENSG00000124171.9	ENST00000396039.1
BCAS4	ENSG00000124243.19	ENST00000358791.9
ADNP	ENSG00000101126.18	ENST00000621696.5
DPM1	ENSG00000000419.14	ENST00000683466.1
MOCS3	ENSG00000124217.5	ENST00000244051.3
KCNG1	ENSG00000026559.14	ENST00000371571.5
NFATC2	ENSG00000101096.20	ENST00000609943.5
ATP9A	ENSG00000054793.14	ENST00000338821.6
SALL4	ENSG00000101115.13	ENST00000217086.9
ZFP64	ENSG00000020256.20	ENST00000371518.6
TSHZ2	ENSG00000182463.17	ENST00000371497.10
ZNF217	ENSG00000171940.14	ENST00000371471.7
BCAS1	ENSG00000064787.14	ENST00000395961.7
CYP24A1	ENSG00000019186.10	ENST00000216862.8
PFDN4	ENSG00000101132.11	ENST00000715725.2
DOK5	ENSG00000101134.12	ENST00000262593.10
CBLN4	ENSG00000054803.4	ENST00000064571.3
MC3R	ENSG00000124089.4	ENST00000243911.2
FAM210B	ENSG00000124098.10	ENST00000371384.4
AURKA	ENSG00000087586.18	ENST00000395913.7
CSTF1	ENSG00000101138.12	ENST00000217109.9
CASS4	ENSG00000087589.17	ENST00000434344.2
RTF2	ENSG00000022277.13	ENST00000357348.10
GCNT7	ENSG00000124091.10	ENST00000243913.8
FAM209A	ENSG00000124103.10	ENST00000371328.5
FAM209B	ENSG00000213714.1	ENST00000371325.1
TFAP2C	ENSG00000087510.7	ENST00000201031.3
BMP7	ENSG00000101144.13	ENST00000395863.8
SPO11	ENSG00000054796.13	ENST00000371263.8
RAE1	ENSG00000101146.13	ENST00000371242.6
RBM38	ENSG00000132819.17	ENST00000356208.10
HMGB1P1	ENSG00000124097.8	ENST00000522557.2
CTCFL	ENSG00000124092.13	ENST00000423479.7
PCK1	ENSG00000124253.11	ENST00000319441.6
ZBP1	ENSG00000124256.15	ENST00000395822.7
PMEPA1	ENSG00000124225.16	ENST00000265626.8
CIMIP1	ENSG00000124237.6	ENST00000371168.4
ANKRD60	ENSG00000124227.6	ENST00000457363.2
RAB22A	ENSG00000124209.4	ENST00000244040.4
VAPB	ENSG00000124164.16	ENST00000475243.6
APCDD1L	ENSG00000198768.11	ENST00000371149.8
STX16	ENSG00000124222.23	ENST00000355957.9
STX16-NPEPL1	ENSG00000254995.4	ENST00000530122.1
NPEPL1	ENSG00000215440.12	ENST00000525967.5
GNAS	ENSG00000087460.29	ENST00000313949.11
NELFCD	ENSG00000101158.15	ENST00000602795.6
CTSZ	ENSG00000101160.15	ENST00000681011.1
TUBB1	ENSG00000101162.4	ENST00000217133.2
ATP5F1E	ENSG00000124172.10	ENST00000243997.8
PRELID3B	ENSG00000101166.16	ENST00000355937.9
ZNF831	ENSG00000124203.7	ENST00000637017.1
EDN3	ENSG00000124205.18	ENST00000311585.11
PHACTR3	ENSG00000087495.17	ENST00000359926.7
SYCP2	ENSG00000196074.13	ENST00000357552.8
FAM217B	ENSG00000196227.11	ENST00000358293.7
PPP1R3D	ENSG00000132825.7	ENST00000370996.5
CDH26	ENSG00000124215.17	ENST00000348616.9
CDH4	ENSG00000179242.16	ENST00000614565.5
TAF4	ENSG00000130699.20	ENST00000252996.9
LSM14B	ENSG00000149657.20	ENST00000279068.11
PSMA7	ENSG00000101182.15	ENST00000370873.9
SS18L1	ENSG00000184402.15	ENST00000331758.8
MTG2	ENSG00000101181.18	ENST00000370823.8
HRH3	ENSG00000101180.17	ENST00000340177.10
OSBPL2	ENSG00000130703.17	ENST00000439951.6
ADRM1	ENSG00000130706.13	ENST00000491935.5
LAMA5	ENSG00000130702.15	ENST00000252999.7
RPS21	ENSG00000171858.18	ENST00000343986.9
CABLES2	ENSG00000149679.12	ENST00000279101.10
RBBP8NL	ENSG00000130701.4	ENST00000252998.2
GATA5	ENSG00000130700.7	ENST00000252997.3
SLCO4A1	ENSG00000101187.16	ENST00000217159.6
NTSR1	ENSG00000101188.5	ENST00000370501.4
MRGBP	ENSG00000101189.7	ENST00000370487.5
OGFR	ENSG00000060491.17	ENST00000290291.10
COL9A3	ENSG00000092758.18	ENST00000649368.1
TCFL5	ENSG00000101190.13	ENST00000335351.8
DIDO1	ENSG00000101191.17	ENST00000266070.8
GID8	ENSG00000101193.8	ENST00000266069.5
SLC17A9	ENSG00000101194.18	ENST00000370351.9
BHLHE23	ENSG00000125533.6	ENST00000370346.2
YTHDF1	ENSG00000149658.18	ENST00000370339.8
BIRC7	ENSG00000101197.13	ENST00000342412.10
NKAIN4	ENSG00000101198.15	ENST00000370307.6
ARFGAP1	ENSG00000101199.13	ENST00000519273.6
COL20A1	ENSG00000101203.17	ENST00000358894.11
CHRNA4	ENSG00000101204.18	ENST00000370263.9
KCNQ2	ENSG00000075043.21	ENST00000626839.2
EEF1A2	ENSG00000101210.14	ENST00000706948.1
PPDPF	ENSG00000125534.11	ENST00000718243.1
PTK6	ENSG00000101213.7	ENST00000542869.3
SRMS	ENSG00000125508.4	ENST00000217188.2
FNDC11	ENSG00000125531.7	ENST00000370098.4
